5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4
9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8
9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,c,1,8
9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8
9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8
9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8
9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8
9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,w,1,8
9,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,w,1,8
9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,w,1,8
9,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,w,1,8
9,1,1,t,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,8
9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8
9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8
9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8
9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8
9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8
9,1,h,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8
9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8
9,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,1,1,m,8
7,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,6
